Year,company,Item_1,Item_1A,Item_7,Item_8
2023,"ALASKA AIR GROUP, INC.",,,,✓
2023,American Airlines Group Inc.,,,,✓
2023,CHURCH & DWIGHT CO INC /DE/,✓,✓,✓,✓
2023,COMCAST CORP,,,,✓
2023,"DOMINION ENERGY, INC",✓,✓,✓,✓
2023,DTE ENERGY CO,✓,,,
2023,EDISON INTERNATIONAL,✓,✓,✓,✓
2023,ELI LILLY & Co,,,✓,
2023,"Expedia Group, Inc.",,,,✓
2023,HONEYWELL INTERNATIONAL INC,✓,,,
2023,JOHNSON & JOHNSON,,,✓,
2023,LAS VEGAS SANDS CORP,✓,✓,,✓
2023,"Lumen Technologies, Inc.",,,,✓
2023,MARRIOTT INTERNATIONAL INC /MD/,,,,✓
2023,MID AMERICA APARTMENT COMMUNITIES INC.,✓,✓,✓,
2023,MOHAWK INDUSTRIES INC,,,,✓
2023,MONOLITHIC POWER SYSTEMS INC,,,✓,
2023,"Match Group, Inc.",,,,✓
2023,NEWMONT Corp /DE/,,,✓,
2023,"NRG ENERGY, INC.",✓,✓,,✓
2023,PULTEGROUP INC/MI/,✓,,,
2023,Paramount Global,,,✓,
2023,"Prologis, Inc.",,✓,✓,✓
2023,REGENCY CENTERS CORP,✓,✓,✓,✓
2023,STEEL DYNAMICS INC,,,,✓
2023,"Salesforce, Inc.",,,,✓
2023,"ServiceNow, Inc.",,,,✓
2023,Trane Technologies plc,,,,✓
2023,"Verisk Analytics, Inc.",,,,✓
2023,WATERS CORP /DE/,,,✓,
2023,WEYERHAEUSER CO,✓,,,
2023,XCEL ENERGY INC,✓,✓,,✓
2023,lululemon athletica inc.,,,,✓
2023,CARMAX INC,,,,✓
2023,GENERAL MILLS INC,,,✓,
2023,CARDINAL HEALTH INC,✓,✓,✓,✓
2023,FEDEX CORP,,,✓,
2023,RESMED INC,,,,✓
2023,EMERSON ELECTRIC CO,✓,✓,,✓
